group,subgroup,date,day2,date_end,title,deadline,content,example,assignment,note
I: Core Tools,Week 1,2023-01-13,2023-01-13,,Orientation,,/content/01-content,/example/01-example,/assignment/01-problem-set,
I: Core Tools,Week 2,2023-01-18,2023-01-20,,Make Some Graphs in R,,,,,
I: Core Tools,Week 3,2023-01-25,2023-01-27,,Ways of Seeing,,,,,
I: Core Tools,Week 4,2023-02-01,2023-02-03,,How ggplot Thinks,,,,,
I: Core Tools,Week 5,2023-02-08,2023-02-08,,Show the Right Numbers,,,,,
I: Core Tools,Week 6,2023-02-15,2023-02-17,,Expanding your Vocabulary,,,,,
I: Core Tools,Midterm Project,2023-02-15,,2023-02-15,Midterm Project,,,,,
II: Applications,Week 7,2023-02-22,2023-02-24,,Messy and Missing Data,,,,,
II: Applications,Week 8,2023-03-01,2023-03-03,,Trends and Time Series,,,,,
II: Applications,Week 9,2023-03-08,2023-03-10,,Maps and Spatial Data,,,,,
II: Applications,Break,2023-03-15,2023-03-17,,Spring Break,,,,,
II: Applications,Week 10,2023-03-22,2023-03-24,,Counting People,,,,,
II: Applications,Week 11,2023-03-29,2023-03-31,,Visualizing Social Networks,,,,,
II: Applications,Week 12,2023-04-05,2023-04-07,,Animation,,,,,
II: Applications,Week 13,2023-04-12,2023-04-14,,Polishing Plots I,,,,,
II: Applications,Week 14,2023-04-19,2023-04-21,,Polishing Plots II,,,,,
II: Applications,Week 15,2023-04-26,,,Social Theory and Social Data,,,,,
Final Project,Final Project,2023-04-26,,2023-04-26,Final Project,,,,,
