date,hour_number,local_time_at_end_of_hour,utc_time_at_end_of_hour,demand_forecast_mw,demand_mw,net_generation_mw
2019-01-01,1,2019-01-01T01:00:00Z,2019-01-01T06:00:00Z,8621,8376,9565
2019-01-01,2,2019-01-01T02:00:00Z,2019-01-01T07:00:00Z,8274,8040,9266
2019-01-01,3,2019-01-01T03:00:00Z,2019-01-01T08:00:00Z,8016,7750,8716
2019-01-01,4,2019-01-01T04:00:00Z,2019-01-01T09:00:00Z,7813,7591,8386
2019-01-01,5,2019-01-01T05:00:00Z,2019-01-01T10:00:00Z,7875,7554,8370
2019-01-01,6,2019-01-01T06:00:00Z,2019-01-01T11:00:00Z,7951,7689,8423
2019-01-01,7,2019-01-01T07:00:00Z,2019-01-01T12:00:00Z,8246,7971,8553
2019-01-01,8,2019-01-01T08:00:00Z,2019-01-01T13:00:00Z,8526,8210,8754
2019-01-01,9,2019-01-01T09:00:00Z,2019-01-01T14:00:00Z,8891,8512,9056
2019-01-01,10,2019-01-01T10:00:00Z,2019-01-01T15:00:00Z,9288,8989,9647
2019-01-01,11,2019-01-01T11:00:00Z,2019-01-01T16:00:00Z,9617,9425,10080
2019-01-01,12,2019-01-01T12:00:00Z,2019-01-01T17:00:00Z,9671,9673,10226
2019-01-01,13,2019-01-01T13:00:00Z,2019-01-01T18:00:00Z,9587,9701,10240
2019-01-01,14,2019-01-01T14:00:00Z,2019-01-01T19:00:00Z,9493,9612,10299
2019-01-01,15,2019-01-01T15:00:00Z,2019-01-01T20:00:00Z,9491,9520,10536
2019-01-01,16,2019-01-01T16:00:00Z,2019-01-01T21:00:00Z,9560,9516,10795
2019-01-01,17,2019-01-01T17:00:00Z,2019-01-01T22:00:00Z,9900,9654,10775
2019-01-01,18,2019-01-01T18:00:00Z,2019-01-01T23:00:00Z,10456,10374,11640
2019-01-01,19,2019-01-01T19:00:00Z,2019-01-02T00:00:00Z,10676,10641,11662
2019-01-01,20,2019-01-01T20:00:00Z,2019-01-02T01:00:00Z,10644,10510,11468
2019-01-01,21,2019-01-01T21:00:00Z,2019-01-02T02:00:00Z,10363,10266,11178
2019-01-01,22,2019-01-01T22:00:00Z,2019-01-02T03:00:00Z,9886,9912,10902
2019-01-01,23,2019-01-01T23:00:00Z,2019-01-02T04:00:00Z,9330,9413,10327
2019-01-01,24,2019-01-02T00:00:00Z,2019-01-02T05:00:00Z,8749,8913,9902
2019-01-02,1,2019-01-02T01:00:00Z,2019-01-02T06:00:00Z,8513,8507,9487
2019-01-02,2,2019-01-02T02:00:00Z,2019-01-02T07:00:00Z,8278,8352,8939
2019-01-02,3,2019-01-02T03:00:00Z,2019-01-02T08:00:00Z,8228,8274,8836
2019-01-02,4,2019-01-02T04:00:00Z,2019-01-02T09:00:00Z,8379,8382,8855
2019-01-02,5,2019-01-02T05:00:00Z,2019-01-02T10:00:00Z,8671,8694,8982
2019-01-02,6,2019-01-02T06:00:00Z,2019-01-02T11:00:00Z,9580,9464,9529
2019-01-02,7,2019-01-02T07:00:00Z,2019-01-02T12:00:00Z,10859,10668,11118
2019-01-02,8,2019-01-02T08:00:00Z,2019-01-02T13:00:00Z,11611,11490,12263
2019-01-02,9,2019-01-02T09:00:00Z,2019-01-02T14:00:00Z,11690,11679,12415
2019-01-02,10,2019-01-02T10:00:00Z,2019-01-02T15:00:00Z,11605,11697,12196
2019-01-02,11,2019-01-02T11:00:00Z,2019-01-02T16:00:00Z,11758,11628,12035
2019-01-02,12,2019-01-02T12:00:00Z,2019-01-02T17:00:00Z,11637,11700,12234
2019-01-02,13,2019-01-02T13:00:00Z,2019-01-02T18:00:00Z,11443,11588,12181
2019-01-02,14,2019-01-02T14:00:00Z,2019-01-02T19:00:00Z,11260,11561,11917
2019-01-02,15,2019-01-02T15:00:00Z,2019-01-02T20:00:00Z,11131,11569,12093
2019-01-02,16,2019-01-02T16:00:00Z,2019-01-02T21:00:00Z,11194,11555,12353
2019-01-02,17,2019-01-02T17:00:00Z,2019-01-02T22:00:00Z,11415,11730,12495
2019-01-02,18,2019-01-02T18:00:00Z,2019-01-02T23:00:00Z,12122,12462,13265
2019-01-02,19,2019-01-02T19:00:00Z,2019-01-03T00:00:00Z,12610,12733,13376
2019-01-02,20,2019-01-02T20:00:00Z,2019-01-03T01:00:00Z,12554,12599,13142
2019-01-02,21,2019-01-02T21:00:00Z,2019-01-03T02:00:00Z,12303,12265,12939
2019-01-02,22,2019-01-02T22:00:00Z,2019-01-03T03:00:00Z,11890,11711,12647
2019-01-02,23,2019-01-02T23:00:00Z,2019-01-03T04:00:00Z,11226,10974,11871
2019-01-02,24,2019-01-03T00:00:00Z,2019-01-03T05:00:00Z,10301,10301,10774
2019-01-03,1,2019-01-03T01:00:00Z,2019-01-03T06:00:00Z,9772,9969,10311
2019-01-03,2,2019-01-03T02:00:00Z,2019-01-03T07:00:00Z,9436,9711,9889
2019-01-03,3,2019-01-03T03:00:00Z,2019-01-03T08:00:00Z,9307,9595,9628
2019-01-03,4,2019-01-03T04:00:00Z,2019-01-03T09:00:00Z,9336,9620,9632
2019-01-03,5,2019-01-03T05:00:00Z,2019-01-03T10:00:00Z,9561,9832,10011
2019-01-03,6,2019-01-03T06:00:00Z,2019-01-03T11:00:00Z,10331,10479,10920
