player_id,player_name,team_id,team_abbreviation,age,player_height,player_height_inches,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
1630639,A.J. Lawson,1610612742,DAL,22,6-6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,13,34,10,1,-10.9,0.028,0.151,0.182,0.622,0.029
1631260,AJ Green,1610612749,MIL,23,6-5,77,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,33,148,39,20,-5.5,0.015,0.097,0.16,0.628,0.093
1631100,AJ Griffin,1610612737,ATL,19,6-6,78,220,Duke,USA,2022,1,16,68,600,142,68,1.6,0.025,0.08,0.174,0.578,0.07
203932,Aaron Gordon,1610612743,DEN,27,6-8,80,235,Arizona,USA,2014,1,4,65,1068,423,190,13,0.087,0.138,0.208,0.624,0.127
1628988,Aaron Holiday,1610612737,ATL,26,6-0,72,185,UCLA,USA,2018,1,23,59,232,71,79,0.8,0.027,0.062,0.129,0.532,0.13
1630174,Aaron Nesmith,1610612754,IND,23,6-5,77,215,Vanderbilt,USA,2020,1,14,69,688,260,94,-3.4,0.034,0.118,0.169,0.559,0.074
1630598,Aaron Wiggins,1610612760,OKC,24,6-5,77,190,Maryland,USA,2021,2,55,66,433,201,77,1.3,0.052,0.11,0.142,0.599,0.086
1629678,Admiral Schofield,1610612753,ORL,26,6-5,77,241,Tennessee,United Kingdom,2019,2,42,33,135,56,25,-4.1,0.048,0.098,0.128,0.617,0.096
201143,Al Horford,1610612738,BOS,36,6-9,81,240,Florida,Dominican Republic,2007,1,3,61,594,377,180,7.8,0.039,0.158,0.118,0.634,0.126
202692,Alec Burks,1610612765,DET,31,6-6,78,214,Colorado,USA,2011,1,12,51,652,158,114,-1,0.017,0.124,0.218,0.602,0.15
1630197,Aleksej Pokusevski,1610612760,OKC,21,7-0,84,210,None,Serbia,2020,1,17,34,276,159,64,-12.7,0.058,0.16,0.179,0.522,0.13
1627936,Alex Caruso,1610612741,CHI,29,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,63,360,188,187,5.9,0.028,0.1,0.11,0.588,0.158
203458,Alex Len,1610612758,SAC,29,7-2,86,250,Maryland,Ukraine,2013,1,5,21,26,29,6,3.2,0.067,0.207,0.14,0.556,0.09
1628993,Alize Johnson,1610612759,SAS,26,6-8,80,212,Missouri State,USA,2018,2,50,4,7,10,1,19,0.063,0.211,0.145,0.509,0.042
1631214,Alondes Williams,1610612751,BKN,23,6-4,76,210,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,0,1,0,-53,0,0.25,0.143,0,0
1630578,Alperen Sengun,1610612745,HOU,20,6-11,83,243,None,Turkey,2021,1,16,71,1045,620,270,-8.6,0.107,0.198,0.211,0.601,0.198
1629599,Amir Coffey,1610612746,LAC,25,6-7,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,49,172,53,53,-8.8,0.026,0.055,0.129,0.498,0.119
203083,Andre Drummond,1610612741,CHI,29,6-11,83,279,Connecticut,USA,2012,1,9,63,384,425,33,4.1,0.161,0.353,0.198,0.61,0.06
2738,Andre Iguodala,1610612744,GSW,39,6-6,78,215,Arizona,USA,2004,1,9,8,17,17,19,12,0.027,0.113,0.089,0.521,0.183
1629614,Andrew Nembhard,1610612754,IND,23,6-3,75,191,Gonzaga,Canada,2022,2,31,71,653,187,305,-5.5,0.016,0.079,0.156,0.527,0.21
203952,Andrew Wiggins,1610612744,GSW,28,6-7,79,197,Kansas,Canada,2014,1,1,37,633,186,85,5.2,0.05,0.101,0.212,0.564,0.1
