jurisdiction,year,era,week,week_ending_date,average_wk_deaths,n,n_diff,pct_diff
Alabama,2015,FALSE,1,2015-01-10,1118.6,1139,20.40000000000009,1.791044776119411
Alabama,2015,FALSE,2,2015-01-17,1140.8,1140,-0.7999999999999545,-0.07017543859648724
Alabama,2015,FALSE,3,2015-01-24,1101.8,1043,-58.799999999999955,-5.637583892617445
Alabama,2015,FALSE,4,2015-01-31,1094.2,1076,-18.200000000000045,-1.6914498141263983
Alabama,2015,FALSE,5,2015-02-07,1098.2,1110,11.799999999999955,1.0630630630630589
Alabama,2015,FALSE,6,2015-02-14,1099.4,1070,-29.40000000000009,-2.7476635514018777
Alabama,2015,FALSE,7,2015-02-21,1088,1067,-21,-1.9681349578256795
Alabama,2015,FALSE,8,2015-02-28,1065.2,1102,36.799999999999955,3.339382940108889
Alabama,2015,FALSE,9,2015-03-07,1065.8,1207,141.20000000000005,11.69842584921293
Alabama,2015,FALSE,10,2015-03-14,1053.8,1103,49.200000000000045,4.460562103354492
Alabama,2015,FALSE,11,2015-03-21,1051.2,1004,-47.200000000000045,-4.701195219123511
Alabama,2015,FALSE,12,2015-03-28,1011.4,984,-27.399999999999977,-2.784552845528453
Alabama,2015,FALSE,13,2015-04-04,995.8,955,-40.799999999999955,-4.272251308900519
Alabama,2015,FALSE,14,2015-04-11,1014.2,975,-39.200000000000045,-4.020512820512826
Alabama,2015,FALSE,15,2015-04-18,984,904,-80,-8.849557522123893
Alabama,2015,FALSE,16,2015-04-25,992.6,1000,7.399999999999977,0.7399999999999977
Alabama,2015,FALSE,17,2015-05-02,991.4,983,-8.399999999999977,-0.8545269582909437
Alabama,2015,FALSE,18,2015-05-09,971.8,920,-51.799999999999955,-5.630434782608691
Alabama,2015,FALSE,19,2015-05-16,978.4,924,-54.39999999999998,-5.887445887445885
Alabama,2015,FALSE,20,2015-05-23,965.6,911,-54.60000000000002,-5.993413830954997
Alabama,2015,FALSE,21,2015-05-30,958,912,-46,-5.0438596491228065
Alabama,2015,FALSE,22,2015-06-06,955.6,901,-54.60000000000002,-6.059933407325197
Alabama,2015,FALSE,23,2015-06-13,979.4,906,-73.39999999999998,-8.101545253863133
Alabama,2015,FALSE,24,2015-06-20,924.8,903,-21.799999999999955,-2.414174972314502
Alabama,2015,FALSE,25,2015-06-27,966.4,931,-35.39999999999998,-3.802363050483349
Alabama,2015,FALSE,26,2015-07-04,920.2,906,-14.200000000000045,-1.567328918322301
Alabama,2015,FALSE,27,2015-07-11,956.8,927,-29.799999999999955,-3.214670981661268
Alabama,2015,FALSE,28,2015-07-18,972.8,919,-53.799999999999955,-5.854189336235033
Alabama,2015,FALSE,29,2015-07-25,946.4,920,-26.399999999999977,-2.869565217391302
Alabama,2015,FALSE,30,2015-08-01,925.6,903,-22.600000000000023,-2.5027685492801797
Alabama,2015,FALSE,31,2015-08-08,944.2,911,-33.200000000000045,-3.6443468715697085
Alabama,2015,FALSE,32,2015-08-15,956.8,961,4.2000000000000455,0.4370447450572368
Alabama,2015,FALSE,33,2015-08-22,938.6,866,-72.60000000000002,-8.383371824480372
Alabama,2015,FALSE,34,2015-08-29,932,920,-12,-1.3043478260869565
Alabama,2015,FALSE,35,2015-09-05,942.8,932,-10.799999999999955,-1.1587982832617976
Alabama,2015,FALSE,36,2015-09-12,957.4,963,5.600000000000023,0.5815160955347896
Alabama,2015,FALSE,37,2015-09-19,946.8,908,-38.799999999999955,-4.273127753303959
Alabama,2015,FALSE,38,2015-09-26,962.6,951,-11.600000000000023,-1.2197686645636197
Alabama,2015,FALSE,39,2015-10-03,962.6,896,-66.60000000000002,-7.433035714285717
Alabama,2015,FALSE,40,2015-10-10,954.6,964,9.399999999999977,0.9751037344398316
Alabama,2015,FALSE,41,2015-10-17,935.8,869,-66.79999999999995,-7.686996547756037
