title,year,runtime,maturity_rating,genre,box_office,rating_imdb,metascore,awards
102 Dalmatians,2000,100,G,Family,67,4.8,35,0
28 Days,2000,103,PG-13,Comedy,37.2,6.1,46,0
3 Strikes,2000,82,R,Comedy,9.8,4.6,11,0
A Shot at Glory,2000,114,R,Sport,0.1,6.2,66,0
About Adam,2000,97,R,Comedy,0.2,5.8,64,0
All the Pretty Horses,2000,116,PG-13,Western,15.5,5.8,55,0
Almost Famous,2000,122,R,Comedy,32.5,7.9,90,1
American Psycho,2000,102,R,Horror,15.1,7.6,64,0
An Everlasting Piece,2000,103,R,Comedy,0.1,6.2,56,0
Autumn in New York,2000,103,PG-13,Romance,37.8,5.6,24,0
Bait,2000,119,R,Comedy,15.3,5.7,39,0
Bamboozled,2000,135,R,Musical,2.3,6.6,54,0
Battlefield Earth,2000,118,PG-13,Sci-Fi/Fantasy,21.5,2.5,9,0
Beautiful,2000,112,PG-13,Comedy,3.2,5.5,23,0
Bedazzled,2000,93,PG-13,Sci-Fi/Fantasy,37.9,6.1,49,0
Before Night Falls,2000,133,R,Biography,4.2,7.1,85,0
Best in Show,2000,90,PG-13,Comedy,18.7,7.4,78,0
Big Eden,2000,118,PG-13,Comedy,0.5,7.3,59,0
Big Momma's House,2000,99,PG-13,Comedy,117.6,5.2,33,0
Bless the Child,2000,107,R,Horror,29.4,5,17,0
Boiler Room,2000,120,R,Thriller,17,7,63,0
Book of Shadows: Blair Witch 2,2000,90,R,Horror,26.4,4,15,0
Bossa Nova,2000,95,R,Comedy,1.8,6.3,57,0
Bounce,2000,106,PG-13,Romance,36.8,5.8,52,0
Boys and Girls,2000,94,PG-13,Comedy,21.8,5.4,29,0
Bring It On,2000,98,PG-13,Comedy,68.4,6.1,52,0
Cast Away,2000,143,PG-13,Romance,233.6,7.8,73,0
Cecil B. Demented,2000,87,R,Comedy,1.3,6.2,57,0
Center Stage,2000,115,PG-13,Musical,17.2,6.6,52,0
Charlie's Angels,2000,98,PG-13,Comedy,125.3,5.6,52,0
Chicken Run,2000,84,G,Animation,106.8,7.1,88,0
Chocolat,2000,121,PG-13,Romance,71.5,7.3,64,0
Chuck & Buck,2000,96,R,Comedy,1.1,6.6,76,0
Company Man,2000,95,PG-13,Comedy,0.1,5.2,18,0
Coyote Ugly,2000,100,PG-13,Musical,60.8,5.7,27,0
"Crouching Tiger, Hidden Dragon",2000,120,PG-13,Action,128.1,7.9,94,4
Dancer in the Dark,2000,140,R,Musical,4.2,7.9,61,0
Dancing at the Blue Iguana,2000,123,R,Mystery,0.1,5.7,41,0
Diamond Men,2000,100,R,Drama,0.2,6.9,78,0
Digimon: The Movie,2000,82,PG,Animation,9.6,6,20,0
Dinner Rush,2000,99,R,Romance,0.6,7.3,79,0
Dinosaur,2000,82,PG,Animation,137.7,6.4,56,0
Down to You,2000,91,PG-13,Comedy,20.1,4.9,13,0
Dr. T & the Women,2000,122,R,Comedy,13.1,4.7,64,0
Dracula 2000,2000,99,R,Horror,33,4.9,26,0
Drowning Mona,2000,96,PG-13,Comedy,15.5,5.7,25,0
"Dude, Where's My Car?",2000,83,PG-13,Sci-Fi/Fantasy,46.7,5.5,30,0
Duets,2000,112,R,Musical,4.7,6.1,40,0
Dungeons & Dragons,2000,107,PG-13,Sci-Fi/Fantasy,15.4,3.6,14,0
Erin Brockovich,2000,131,R,Biography,125.6,7.4,73,1
Final Destination,2000,98,R,Horror,53.3,6.7,36,0
Finding Forrester,2000,136,PG-13,Drama,51.8,7.3,62,0
Frequency,2000,118,PG-13,Mystery,45,7.4,67,0
Get Carter,2000,102,R,Action,15,5.1,24,0
Girlfight,2000,110,R,Sport,1.6,6.7,70,0
Gladiator,2000,155,R,Action,187.7,8.5,67,5
God's Army,2000,108,PG,Drama,2.6,6.2,38,0
Gone in 60 Seconds,2000,118,PG-13,Action,101.6,6.5,35,0
Gossip,2000,90,R,Thriller,5.1,5.9,31,0
Greenfingers,2000,91,R,Comedy,1.4,6.8,46,0
Groove,2000,86,R,Musical,1.1,6.5,54,0
Gun Shy,2000,101,R,Comedy,1.6,5.6,42,0
Hamlet,2000,112,R,Romance,1.6,5.9,70,0
Hanging Up,2000,94,PG-13,Comedy,36.1,4.8,33,0
Happy Accidents,2000,110,R,Comedy,0.7,7.2,60,0
Here on Earth,2000,96,PG-13,Romance,10.5,5.1,25,0
High Fidelity,2000,113,R,Musical,27.3,7.4,79,0
Highlander: Endgame,2000,87,R,Sci-Fi/Fantasy,12.8,4.6,21,0
Hollow Man,2000,112,R,Horror,73.2,5.8,24,0
How the Grinch Stole Christmas,2000,104,PG,Family,260.7,6.2,46,1
I Dreamed of Africa,2000,114,PG-13,Biography,6.7,5.5,33,0
Isn't She Great,2000,95,R,Biography,3,5.3,34,0
Joe Gould's Secret,2000,104,R,Drama,0.5,6.5,74,0
Keeping the Faith,2000,128,PG-13,Comedy,37,6.4,60,0
Lisa Picard Is Famous,2000,90,PG-13,Comedy,0.1,5.6,57,0
Little Nicky,2000,90,PG-13,Sci-Fi/Fantasy,39.5,5.3,38,0
Loser,2000,98,PG-13,Comedy,15.6,5.3,35,0
Lost Souls,2000,97,R,Horror,16.8,4.8,16,0
Love & Basketball,2000,124,PG-13,Sport,27.5,7.2,70,0
Love & Sex,2000,82,R,Comedy,0.5,6.1,44,0
Love's Labour's Lost,2000,93,PG,Musical,0.3,5.9,35,0
Lucky Numbers,2000,105,R,Comedy,10,5,31,0
Malena,2000,108,R,Romance,3.4,7.4,54,0
"Me, Myself & Irene",2000,116,R,Comedy,90.6,6.6,49,0
Meet the Parents,2000,108,PG-13,Comedy,166.2,7,73,0
Memento,2000,113,R,Thriller,25.5,8.4,80,0
Men of Honor,2000,129,R,Biography,48.8,7.2,56,0
Mercy Streets,2000,106,PG-13,Action,0.2,5.2,28,0
Miss Congeniality,2000,109,PG-13,Comedy,106.8,6.3,43,0
Mission to Mars,2000,114,PG,Sci-Fi/Fantasy,60.9,5.6,34,0
Mission: Impossible II,2000,123,PG-13,Action,215.4,6.1,59,0
MVP: Most Valuable Primate,2000,93,PG,Family,1.2,4.1,43,0
My Dog Skip,2000,95,PG,Family,34.1,7,61,0
Next Friday,2000,98,R,Comedy,57.3,6.1,41,0
Nurse Betty,2000,110,R,Comedy,25.2,6.3,69,0
Nutty Professor II: The Klumps,2000,106,PG-13,Sci-Fi/Fantasy,123.3,4.4,38,0
"O Brother, Where Art Thou?",2000,107,PG-13,Comedy,45.5,7.7,69,0
Once in the Life,2000,107,R,Drama,0.1,5.2,52,0
Our Song,2000,95,R,Drama,0.3,6.8,77,0
Panic,2000,88,R,Comedy,0.8,6.7,77,0
Passion of Mind,2000,105,PG-13,Romance,0.8,5.5,28,0
Pay It Forward,2000,123,PG-13,Drama,33.5,7.2,40,0
Pitch Black,2000,109,R,Horror,39.2,7.1,49,0
Pollock,2000,122,R,Biography,8.6,7,77,1
Price of Glory,2000,118,PG-13,Sport,3.4,6.1,32,0
Proof of Life,2000,135,R,Action,32.6,6.3,45,0
Ready to Rumble,2000,107,PG-13,Comedy,12.4,5.3,23,0
Red Planet,2000,106,PG-13,Sci-Fi/Fantasy,17.5,5.7,34,0
Reindeer Games,2000,104,R,Action,23.4,5.8,37,0
Remember the Titans,2000,113,PG,Biography,115.7,7.8,48,0
Return to Me,2000,115,PG,Comedy,32.7,6.9,54,0
Road Trip,2000,93,R,Comedy,68.5,6.5,55,0
Romeo Must Die,2000,115,R,Action,56,6.1,52,0
Rules of Engagement,2000,128,R,Thriller,61.3,6.4,45,0
Scary Movie,2000,88,R,Comedy,157,6.2,48,0
Scream 3,2000,116,R,Horror,89.1,5.6,56,0
Screwed,2000,81,PG-13,Comedy,7,5.6,7,0
Shadow Magic,2000,116,PG,Romance,0.1,7.1,66,0
Shadow of the Vampire,2000,92,R,Horror,8.3,6.9,71,0
Shaft,2000,99,R,Action,70.3,6,50,0
Shanghai Noon,2000,110,PG-13,Comedy,56.9,6.6,77,0
Small Time Crooks,2000,94,PG,Comedy,17.3,6.6,69,0
Snatch,2000,104,R,Comedy,30.3,8.3,55,0
Snow Day,2000,89,PG,Family,60,5.1,34,0
Songcatcher,2000,109,PG-13,Musical,3.1,7.2,63,0
Sordid Lives,2000,111,R,Comedy,1.1,6.7,47,0
Space Cowboys,2000,130,PG-13,Action,90.5,6.5,73,0
State and Main,2000,105,R,Comedy,6.9,6.7,75,0
Steal This Movie,2000,107,R,Biography,0.1,6.4,36,0
Supernova,2000,90,PG-13,Horror,14.2,4.8,19,0
Swimming,2000,98,R,Drama,0.2,6.4,71,0
The 6th Day,2000,123,PG-13,Sci-Fi/Fantasy,34.6,5.9,49,0
The Adventures of Rocky & Bullwinkle,2000,92,PG,Animation,26,4.2,36,0
The Art of War,2000,117,R,Action,30.2,5.7,30,0
The Beach,2000,119,R,Romance,39.8,6.6,43,0
The Broken Hearts Club: A Romantic Comedy,2000,94,R,Comedy,1.7,6.9,51,0
The Cell,2000,107,R,Horror,61.3,6.4,40,0
The Claim,2000,120,R,Western,0.7,6.3,62,0
The Contender,2000,126,R,Thriller,17.9,6.9,59,0
The Crew,2000,88,PG-13,Comedy,13,5.6,37,0
The Debut,2000,94,R,Comedy,1.7,6.4,60,0
The Family Man,2000,125,PG-13,Sci-Fi/Fantasy,75.8,6.8,42,0
The Flintstones in Viva Rock Vegas,2000,90,PG,Family,35.3,3.7,27,0
The Gift,2000,112,R,Horror,12,6.7,62,0
The Golden Bowl,2000,130,R,Romance,3.1,5.9,62,0
The House of Mirth,2000,135,PG,Romance,3,7,78,0
The in Crowd,2000,105,PG-13,Thriller,5.3,4.6,14,0
The Independent,2000,81,R,Comedy,0.2,5.9,52,0
The Kid,2000,104,PG,Family,69.7,6.1,45,0
The Ladies Man,2000,84,R,Comedy,13.6,5.1,22,0
The Legend of Bagger Vance,2000,126,PG-13,Sci-Fi/Fantasy,30.9,6.7,47,0
The Little Vampire,2000,95,PG,Family,13.6,5.7,45,0
The Million Dollar Hotel,2000,122,R,Thriller,0.1,5.7,25,0
The Next Best Thing,2000,108,PG-13,Comedy,15,4.6,25,0
The Patriot,2000,165,R,Action,113.3,7.2,63,0
The Perfect Storm,2000,130,PG-13,Action,182.6,6.4,59,0
The Replacements,2000,118,PG-13,Comedy,44.7,6.6,30,0
The Road to El Dorado,2000,89,PG,Animation,50.9,6.9,51,0
The Skulls,2000,106,PG-13,Action,35,5.6,24,0
The Tao of Steve,2000,87,R,Comedy,4.3,6.7,70,0
The Watcher,2000,97,R,Mystery,28.9,5.3,22,0
The Way of the Gun,2000,119,R,Action,6.1,6.6,49,0
The Weight of Water,2000,114,R,Mystery,0.1,5.8,45,0
The Whole Nine Yards,2000,98,R,Comedy,57.3,6.7,47,0
The Yards,2000,115,R,Romance,0.9,6.4,58,0
Thirteen Days,2000,145,PG-13,Thriller,34.6,7.3,67,0
Thomas and the Magic Railroad,2000,85,G,Comedy,15.9,4.1,19,0
Tigerland,2000,101,R,Drama,0.1,7,55,0
Timecode,2000,97,R,Romance,1.1,6.1,65,0
Titan A.E.,2000,94,PG,Animation,22.8,6.6,48,0
Traffic,2000,147,R,Thriller,124.1,7.6,86,4
Trixie,2000,116,R,Comedy,0.3,4.9,26,0
Tully,2000,102,R,Drama,0.5,7.3,73,0
Turn It Up,2000,86,R,Action,1.2,4.1,18,0
Two Family House,2000,108,R,Comedy,1,7.2,79,0
U-571,2000,116,PG-13,Action,77.1,6.6,62,1
Unbreakable,2000,106,PG-13,Sci-Fi/Fantasy,95,7.3,62,0
Under Suspicion,2000,110,R,Thriller,0.3,6.4,43,0
Up at the Villa,2000,115,PG-13,Romance,2.9,6,57,0
Urban Legends: Final Cut,2000,97,R,Horror,21.5,4.3,16,0
Urbania,2000,103,R,Drama,1,6.8,73,0
Vampire Hunter D: Bloodlust,2000,103,R,Animation,0.2,7.6,62,0
Vertical Limit,2000,124,PG-13,Action,69.2,5.9,48,0
Waking the Dead,2000,105,R,Romance,0.3,6.5,59,0
What Lies Beneath,2000,130,PG-13,Horror,155.5,6.6,51,0
What Planet Are You From?,2000,105,R,Sci-Fi/Fantasy,6.3,5.6,41,0
What Women Want,2000,127,PG-13,Sci-Fi/Fantasy,182.8,6.4,47,0
What's Cooking?,2000,109,PG-13,Comedy,1,6.9,57,0
Whatever It Takes,2000,94,PG-13,Comedy,8.7,5.4,20,0
Where the Heart Is,2000,120,PG-13,Comedy,33.8,6.7,30,0
Where the Money Is,2000,89,PG-13,Comedy,5.7,6.3,49,0
Whipped,2000,82,R,Comedy,4.2,4.4,10,0
Woman on Top,2000,92,R,Sci-Fi/Fantasy,5,5.3,41,0
Wonder Boys,2000,107,R,Comedy,19.4,7.2,73,1
X-Men,2000,104,PG-13,Sci-Fi/Fantasy,157.3,7.3,64,0
You Can Count on Me,2000,111,R,Drama,9.4,7.5,85,0
15 Minutes,2001,120,R,Action,24.4,6.1,34,0
3000 Miles to Graceland,2001,125,R,Comedy,15.7,5.9,21,0
A Beautiful Mind,2001,135,PG-13,Biography,170.7,8.2,72,4
A Knight's Tale,2001,132,PG-13,Romance,56.6,6.9,56,0
A.I. Artificial Intelligence,2001,146,PG-13,Sci-Fi/Fantasy,78.6,7.2,65,0
Ali,2001,157,R,Biography,58.2,6.7,65,0
All Over the Guy,2001,95,R,Comedy,1,6.4,46,0
Along Came a Spider,2001,104,R,Thriller,74.1,6.4,42,0
America's Sweethearts,2001,102,PG-13,Comedy,93.6,5.7,44,0
American Outlaws,2001,94,PG-13,Western,13.3,5.9,25,0
American Pie 2,2001,108,R,Comedy,145.1,6.4,43,0
Amy's Orgasm,2001,87,R,Comedy,0.1,5.3,36,0
An American Rhapsody,2001,106,PG-13,Drama,0.9,6.8,51,0
Angel Eyes,2001,102,R,Romance,24.2,5.6,39,0
Antitrust,2001,108,PG-13,Action,11.3,6.1,31,0
Atlantis: The Lost Empire,2001,95,PG,Animation,84.1,6.9,52,0
Baby Boy,2001,130,R,Romance,28.7,6.4,55,0
Bandits,2001,123,PG-13,Comedy,41.6,6.5,60,0
Bartleby,2001,83,PG-13,Comedy,0.1,6.4,48,0
Behind Enemy Lines,2001,106,PG-13,Action,58.9,6.4,49,0
Big Bad Love,2001,111,R,Comedy,0.1,5.8,49,0
Birthday Girl,2001,93,R,Comedy,5.1,6,51,0
Black Hawk Down,2001,144,R,Action,108.6,7.7,74,2
Black Knight,2001,95,PG-13,Sci-Fi/Fantasy,33.4,4.9,32,0
Blow,2001,124,R,Biography,53,7.5,52,0
Blow Dry,2001,94,R,Comedy,0.6,6.2,38,0
Bones,2001,96,R,Horror,7.3,4.3,42,0
Bridget Jones's Diary,2001,97,R,Comedy,71.5,6.7,66,0
Brigham City,2001,119,PG-13,Mystery,0.9,6.7,62,0
Bubble Boy,2001,84,PG-13,Comedy,5,5.6,41,0
Captain Corelli's Mandolin,2001,131,R,Musical,25.5,5.9,36,0
Cats & Dogs,2001,87,PG,Comedy,93.4,5.1,47,0
Chelsea Walls,2001,109,R,Drama,0.1,4.8,34,0
Christmas in the Clouds,2001,96,PG,Family,0.3,6.4,56,0
Circuit,2001,130,R,Romance,0.2,5.6,36,0
Corky Romano,2001,86,PG-13,Comedy,24,4.7,20,0
CQ,2001,88,R,Sci-Fi/Fantasy,0.4,6.2,56,0
Crazy/Beautiful,2001,99,PG-13,Romance,16.9,6.4,61,0
Crocodile Dundee in Los Angeles,2001,95,PG,Comedy,25.6,4.8,37,0
Dark Blue World,2001,112,R,Romance,0.3,7.2,56,0
Domestic Disturbance,2001,89,PG-13,Thriller,45.2,5.6,29,0
Don't Say a Word,2001,113,R,Thriller,55,6.3,38,0
