year,age,pop,male,female
1900,0,1811000,919000,892000
1900,1,1835000,928000,907000
1900,2,1846000,932000,914000
1900,3,1848000,932000,916000
1900,4,1841000,928000,913000
1900,5,1827000,921000,906000
1900,6,1806000,911000,895000
1900,7,1780000,899000,881000
1900,8,1750000,884000,866000
1900,9,1717000,868000,849000
1900,10,1682000,851000,831000
1900,11,1644000,833000,811000
1900,12,1611000,816000,795000
1900,13,1585000,800000,785000
1900,14,1564000,786000,778000
1900,15,1544000,772000,772000
1900,16,1519000,756000,763000
1900,17,1505000,746000,759000
1900,18,1500000,742000,758000
1900,19,1500000,741000,759000
1900,20,1500000,740000,760000
1900,21,1500000,739000,761000
1900,22,1491000,736000,755000
1900,23,1465000,726000,739000
1900,24,1427000,712000,715000
1900,25,1392000,700000,692000
1900,26,1356000,687000,669000
1900,27,1316000,672000,644000
1900,28,1275000,654000,621000
1900,29,1233000,636000,597000
1900,30,1191000,617000,574000
1900,31,1145000,597000,548000
1900,32,1108000,580000,528000
1900,33,1082000,568000,514000
1900,34,1063000,559000,504000
1900,35,1044000,550000,494000
1900,36,1025000,540000,485000
1900,37,1004000,529000,475000
1900,38,977000,516000,461000
1900,39,946000,501000,445000
1900,40,917000,486000,431000
1900,41,888000,472000,416000
1900,42,859000,457000,402000
1900,43,824000,439000,385000
1900,44,789000,420000,369000
1900,45,753000,401000,352000
1900,46,718000,382000,336000
1900,47,688000,366000,322000
1900,48,666000,355000,311000
1900,49,650000,347000,303000
1900,50,635000,339000,296000
1900,51,622000,332000,290000
1900,52,600000,320000,280000
1900,53,571000,304000,267000
1900,54,534000,282000,252000
1900,55,500000,262000,238000
1900,56,465000,242000,223000
1900,57,437000,226000,211000
1900,58,417000,215000,202000
1900,59,405000,208000,197000
1900,60,391000,201000,190000
1900,61,380000,195000,185000
1900,62,364000,186000,178000
1900,63,345000,176000,169000
1900,64,322000,165000,157000
1900,65,302000,155000,147000
1900,66,281000,144000,137000
1900,67,262000,134000,128000
1900,68,243000,125000,118000
1900,69,224000,115000,109000
1900,70,207000,106000,101000
1900,71,191000,98000,93000
1900,72,176000,90000,86000
1900,73,163000,82000,81000
1900,74,151000,75000,76000
1900,75,899000,441000,458000
1901,0,1850000,938000,912000
1901,1,1869000,945000,924000
1901,2,1876000,947000,929000
1901,3,1876000,946000,930000
1901,4,1865000,940000,925000
1901,5,1849000,932000,917000
1901,6,1826000,921000,905000
1901,7,1799000,908000,891000
1901,8,1768000,893000,875000
1901,9,1735000,877000,858000
1901,10,1699000,860000,839000
1901,11,1661000,841000,820000
1901,12,1630000,825000,805000
1901,13,1605000,810000,795000
1901,14,1586000,797000,789000
1901,15,1567000,784000,783000
1901,16,1544000,769000,775000
1901,17,1531000,759000,772000
1901,18,1527000,755000,772000
1901,19,1529000,756000,773000
1901,20,1530000,756000,774000
1901,21,1532000,756000,776000
1901,22,1524000,753000,771000
1901,23,1498000,744000,754000
1901,24,1460000,730000,730000
1901,25,1424000,717000,707000
1901,26,1387000,704000,683000
1901,27,1349000,689000,660000
1901,28,1306000,671000,635000
1901,29,1263000,652000,611000
1901,30,1217000,631000,586000
1901,31,1170000,610000,560000
1901,32,1131000,592000,539000
1901,33,1106000,580000,526000
1901,34,1089000,572000,517000
1901,35,1070000,563000,507000
1901,36,1052000,554000,498000
1901,37,1031000,543000,488000
1901,38,1003000,529000,474000
1901,39,970000,514000,456000
1901,40,940000,499000,441000
1901,41,910000,484000,426000
1901,42,877000,467000,410000
1901,43,843000,449000,394000
1901,44,808000,430000,378000
1901,45,773000,412000,361000
1901,46,734000,391000,343000
1901,47,704000,375000,329000
1901,48,683000,364000,319000
1901,49,667000,356000,311000
1901,50,651000,348000,303000
1901,51,639000,342000,297000
1901,52,619000,331000,288000
1901,53,587000,313000,274000
1901,54,549000,291000,258000
1901,55,514000,271000,243000
1901,56,477000,249000,228000
1901,57,446000,231000,215000
1901,58,427000,220000,207000
1901,59,415000,214000,201000
1901,60,401000,206000,195000
1901,61,387000,199000,188000
1901,62,372000,191000,181000
1901,63,353000,181000,172000
1901,64,330000,169000,161000
1901,65,308000,158000,150000
1901,66,288000,148000,140000
1901,67,268000,137000,131000
1901,68,250000,128000,122000
1901,69,231000,119000,112000
1901,70,212000,109000,103000
1901,71,196000,100000,96000
1901,72,179000,91000,88000
1901,73,166000,84000,82000
